dest_iso3,permits_prewar,permits_now,ua_perm_delta,total_refugees,ua_perm_per_refugee,ua_perm_share_war,lat,lon
AUT,9973,10448,475,202980.0,0.0023401320327125826,0.002334668599936104,,
BEL,5673,6617,944,210490.0,0.004484773623450045,0.0044647502293860015,,
BGR,9149,10801,1652,162630.0,0.010158027424214474,0.01005587952423272,,
CHE,7146,7616,470,156960.0,0.002994393476044852,0.0029854538525058757,,
CYP,4573,6180,1607,54415.0,0.029532298079573648,0.028685159401663635,,
CZE,193547,197944,4397,866515.0,0.0050743495496327245,0.005048730526161081,,
DEU,109279,111145,1866,2713425.0,0.0006876917548854308,0.0006872191599353439,,
DNK,13715,47644,33929,100280.0,0.33834264060630237,0.2528071887876372,,
ESP,97442,93418,0,556285.0,,,,
EST,14282,22594,8312,79285.0,0.10483698051333795,0.09488909437537814,,
FIN,8561,11598,3037,171900.0,0.017667248400232694,0.01736053550706826,,
FRA,18610,31020,12410,104045.0,0.11927531356624538,0.10656476750676226,,
GRC,20737,15539,0,,,,,
HRV,2405,2126,0,63520.0,,,,
HUN,63175,21538,0,96925.0,,,,
IRL,2144,2232,88,264630.0,0.00033253977251256474,0.0003324292265731836,,
ISL,221,271,50,8815.0,0.005672149744753261,0.005640157924421884,,
ITA,230366,252325,21959,125405.0,0.17510466089868826,0.14901197035911076,,
LIE,76,58,0,,,,,
LTU,32884,30659,0,112320.0,,,,
LUX,997,1540,543,8335.0,0.06514697060587882,0.06116242396936247,,
LVA,9087,6656,0,68940.0,,,,
MLT,1192,1175,0,5365.0,,,,
NLD,8238,10212,1974,293095.0,0.006735017656391272,0.00668996065327093,,
NOR,3135,2342,0,186840.0,,,,
POL,651221,638617,0,2370275.0,,,,
PRT,27195,25275,0,128475.0,,,,
ROU,2260,2563,303,437890.0,0.0006919546004704377,0.0006914761303809052,,
SVK,54138,62347,8209,306555.0,0.026778229029048622,0.02607985665450941,,
SVN,2655,2875,220,24190.0,0.009094667217858619,0.009012699713232281,,
SWE,6097,4260,0,107060.0,,,,
